FeatureID	GoldSet MethodID Position	GoldSetMethodID	LSI+Dyn GoldSetMethodID Rank - All Ranks	LSI+Dyn GoldSetMethodID Rank - Best Rank
1611766	2987	org.gjt.sp.jedit.buffer.JEditBuffer.getIndentRules(int)	1	1
1617509	1975	org.gjt.sp.jedit.io.GlobVFSFileFilter.accept(VFSFile)	22	22
 	1979	org.gjt.sp.jedit.io.GlobVFSFileFilter.setGlob(String)	384	
1620694	722	org.gjt.sp.jedit.textarea.BufferHandler.delayUpdate(int,int)	912	29
 	5109	org.gjt.sp.jedit.textarea.TextArea.TextArea(IPropertyManager,InputHandlerProvider)		
 	5128	org.gjt.sp.jedit.textarea.TextArea.setBuffer(JEditBuffer)	79	
 	5317	org.gjt.sp.jedit.textarea.TextArea.propertiesChanged()	1108	
 	5325	org.gjt.sp.jedit.textarea.TextArea.foldStructureChanged()		
 	5333	org.gjt.sp.jedit.textarea.TextArea.finishCaretUpdate(int,int,boolean)	29	
 	5420	org.gjt.sp.jedit.textarea.TextAreaPainter.setBounds(int,int,int,int)	48	
 	5468	org.gjt.sp.jedit.textarea.TextAreaPainter.paint(Graphics)	178	
1628053	1547	org.gjt.sp.jedit.EditPane.setBuffer(Buffer,boolean)	29	29
 	853	org.gjt.sp.jedit.gui.BufferSwitcher.updateBufferList()	32	
1630805	4137	org.gjt.sp.jedit.syntax.ParserRule.createSequenceRule(int,String,ParserRuleSet,byte)		276
 	4139	org.gjt.sp.jedit.syntax.ParserRule.createRegexpSequenceRule(String,int,String,ParserRuleSet,byte,boolean)		
 	4140	org.gjt.sp.jedit.syntax.ParserRule.createRegexpSequenceRule(int,char[],String,ParserRuleSet,byte,boolean)		
 	4150	org.gjt.sp.jedit.syntax.ParserRule.createEscapeRule(String)		
 	4151	org.gjt.sp.jedit.syntax.ParserRule.toString()		
 	5546	org.gjt.sp.jedit.syntax.TokenMarker.markTokens(LineContext,TokenHandler,Segment)	276	
 	5547	org.gjt.sp.jedit.syntax.TokenMarker.checkDelegateEnd(ParserRule)	1096	
1638642	2068	org.gjt.sp.jedit.GUIUtilities.initContinuousLayout(JSplitPane)	1	1
 	-1	org.gjt.sp.jedit.GUIUtilities.SizeSaver.SizeSaver(Frame,String)		
 	5995	org.gjt.sp.jedit.View.split(int)	4	
 	6037	org.gjt.sp.jedit.View.restoreSplitConfig(Buffer,String)		
 	6038	org.gjt.sp.jedit.View.propertiesChanged()	29	
 	321	org.gjt.sp.jedit.browser.BrowserView.BrowserView(VFSBrowser)	25	
